Theta,Alpha,Spatial Frequency,Visibilities Squared,Expected Value,Chi-Squared Value
1.35,0.01,142.64098491479027,0.0243281702773094,0.06219817284606648,0.02305754379806295
1.35,0.01,143.32588111850086,0.02323656905638528,0.05990560827011126,0.02244561862714021
1.35,0.01,144.01723692821125,0.022522074062511898,0.05764387636426935,0.021399341521181028
1.35,0.01,144.71513335074297,0.022126398959505737,0.0554138425552495,0.0199959766376976
1.35,0.01,145.41966358773843,0.02312978718002438,0.05321634039543142,0.017009825885382197
1.35,0.01,146.13092262005586,0.021442554405581737,0.05105220624956433,0.017173233964386084
1.35,0.01,146.84901833358754,0.01735327769846156,0.048922246084321976,0.020371095865666582
1.35,0.01,147.57403853309566,0.016261560732311244,0.04682733308337987,0.019951305741751597
1.35,0.01,148.3060951070448,0.014845900060656841,0.04476827596395559,0.019999621616414002
1.35,0.01,177.5867292661351,8.026119814293619e-05,0.0017618927532297576,0.0016050265726332516
1.35,0.01,178.3584082759753,0.0034491610170227444,0.0014590099485587344,0.0027146499441083128
1.35,0.01,179.1366440242641,0.0011378868207475741,0.001185204667285461,1.8891071413944683e-06
1.35,0.01,179.9215324086713,0.004057148519092265,0.0009403499580536273,0.010330657418435826
1.35,0.01,180.7131469013654,0.006124849760000253,0.0007243032472297151,0.04026752986149178
1.35,0.01,181.5115742704435,0.00801128075522176,0.0005368932996350921,0.10405506620068056
1.35,0.01,182.3169027828517,0.003814527619715109,0.00037792389663929445,0.03125032646647035
1.35,0.01,183.12923470691715,0.003051898172284957,0.00024717133121626613,0.03182607228072197
1.35,0.01,183.94864915930665,0.004851936845519759,0.00014438989340235362,0.1534802594848971
1.35,0.01,184.77525180162417,0.004187247883906565,6.930315530734595e-05,0.24468537850253771
1.35,0.01,185.6091119588808,0.005030301405364127,2.1610080687675862e-05,1.1608928790439983
1.35,0.01,186.45035141021896,0.005058348680807101,9.773388565566252e-07,26.17004810439639
1.35,0.01,187.29906848759086,0.003539331983399543,7.045070855160174e-06,1.7710326963416545
1.35,0.01,188.15535011387894,0.008265089857874594,3.942280491269777e-05,1.7163060471222227
1.35,0.01,189.01929780655414,0.004189675804911285,9.768901174775154e-05,0.17140470167372915
1.35,0.01,189.89101490772512,0.007713612339630155,0.0001813909959278571,0.31277384018051735
1.35,0.01,170.04496800941266,-0.0012989227541881578,0.006547721077930382,0.00940324407459107
1.35,0.01,170.78387532013386,0.0017029307980693227,0.005920388889157316,0.0030043554710838098
1.35,0.01,171.5290609174384,0.0005816308603774901,0.005324704849512309,0.004224976125853768
1.35,0.01,172.2806166264096,0.0013528569933157959,0.004760747174190143,0.0024394732717297504
1.35,0.01,173.03861279899647,0.0002695798242551391,0.004228592401613235,0.0037066189169000885
1.35,0.01,173.80313251842472,0.0001231019276465622,0.003728287535971232,0.00348614830403242
1.35,0.01,174.57426030311578,0.001947363511934143,0.0032598585540735588,0.0005284410986138987
1.35,0.01,175.3520940782607,-0.0003485679509905643,0.0028233031369017227,0.003563473601792413
1.35,0.01,176.13670960059636,0.0008003799805024934,0.0024186100767992795,0.0010827163376521517
1.35,0.01,176.9282080444848,0.0019025745329836427,0.002045731727877717,1.0017922766051488e-05
1.35,0.01,177.72665579083935,0.001483932780188618,0.0017046128558168697,2.8569358498680015e-05
1.35,0.01,178.5321694470804,0.0024781690025993145,0.0013951510626236741,0.0008407174604471226
1.35,0.01,179.34484316919435,2.7124078213221127e-05,0.0011172296197467578,0.0010636399811450432
1.35,0.01,180.16476018861866,0.001468773324753101,0.0008707082227704796,0.00041079417519612537
1.35,0.01,180.9920177115758,0.00273271941899216,0.0006554136021661228,0.006583933324480421
1.35,0.01,181.82671469143705,0.002715485525044613,0.0004711436068316594,0.010691157797345547
1.35,0.01,182.66896482586444,0.0027609800688359796,0.00031766419753935786,0.01879277706827609
1.35,0.01,183.5188579658892,0.0026899744626005142,0.00019471583813249858,0.03197642093574937
1.35,0.01,184.37649855224794,0.0030763947837638378,0.00010200439185696407,0.08673154206804794
1.35,0.01,185.2420062625676,0.0038210992946067735,3.920257069204184e-05,0.3648419626027344
1.35,0.01,186.1154628799714,0.004040076627349306,5.952463088413208e-06,2.7340207794571927
1.35,0.01,186.99701907206932,0.005228141628377298,1.8592364210646091e-06,14.690992135810033
1.35,0.01,187.88674684596393,0.0056131143755934875,2.6494808348822145e-05,1.1779786355959228
1.35,0.01,188.7847879486953,0.0055483860015212265,7.939520989162564e-05,0.3767212193248975
1.35,0.01,189.69124540663847,0.004932709478810754,0.00016005899176876505,0.14231123425024106
1.35,0.01,184.55821386176112,0.0014326709391035578,8.62956255673419e-05,0.021006006654244125
