Trial,Angular Diameter,Visibility Value,Chi-Squared Value
210,1.4939999999999842,1.02,3.4537320514870005
211,1.4819999999999856,1.01,3.000750326065408
212,1.487999999999985,1.01,3.296638644931768
213,1.4849999999999852,1.01,2.774265206548675
214,1.487999999999985,1.01,3.322006181398453
215,1.4849999999999852,1.01,2.6213665745101453
216,1.4629999999999876,0.99,2.9235528483066635
217,1.485999999999985,1.01,2.514408865040863
218,1.4929999999999843,1.02,3.2490294423708512
219,1.4649999999999874,0.98,2.7822120685939526
220,1.487999999999985,1.02,2.9178668825923952
221,1.487999999999985,1.01,3.547192393207867
222,1.4929999999999843,1.02,3.2536694162899353
223,1.487999999999985,1.01,2.936694348906984
224,1.4919999999999844,1.02,2.9963630366891136
225,1.487999999999985,1.02,2.724386812415398
226,1.4929999999999843,1.02,2.9831326748348657
227,1.487999999999985,1.01,2.9097617616477334
228,1.4889999999999848,1.01,2.8452051647621324
229,1.4819999999999856,1.0,2.3700883414896956
230,1.4929999999999843,1.02,3.5003586375911846
231,1.4849999999999852,1.01,2.7433877363322448
232,1.4949999999999841,1.02,3.023936490266861
233,1.4639999999999875,0.99,3.467433720805649
234,1.487999999999985,1.01,3.280820761877164
235,1.4849999999999852,1.01,2.681300773198817
236,1.4889999999999848,1.01,2.918841223776413
237,1.487999999999985,1.02,3.079432099402339
238,1.487999999999985,1.02,3.224620097280035
239,1.4849999999999852,1.01,2.9230953496584755
240,1.4919999999999844,1.02,2.98231594457734
241,1.4849999999999852,1.01,3.0430733241128656
242,1.4849999999999852,1.01,2.8351171044436208
243,1.486999999999985,1.01,3.2053760223431254
244,1.4949999999999841,1.02,3.5169843028435257
245,1.487999999999985,1.01,3.093403052700767
246,1.4849999999999852,1.01,2.9258798697825754
247,1.4889999999999848,1.01,2.7818222125407464
248,1.487999999999985,1.01,2.7636964886847486
249,1.487999999999985,1.01,2.9122388971718287
250,1.4929999999999843,1.02,2.999233670612534
251,1.4849999999999852,1.01,3.1246454931611876
252,1.487999999999985,1.01,2.8968537682765225
253,1.487999999999985,1.01,2.8356798103965657
254,1.487999999999985,1.02,2.837824381648175
255,1.4929999999999843,1.02,3.037580513495695
256,1.4819999999999856,1.01,2.710946609392329
257,1.487999999999985,1.01,3.0021744491590763
258,1.487999999999985,1.01,2.992177701114621
259,1.487999999999985,1.01,2.7329709857194877
260,1.4849999999999852,1.01,2.660639475500991
261,1.4849999999999852,1.01,2.8006145328482877
262,1.4849999999999852,1.01,2.5347758400199134
263,1.487999999999985,1.01,3.1472497421682624
264,1.4809999999999857,1.0,2.7569781530323887
265,1.4929999999999843,1.02,3.241176051899643
266,1.4819999999999856,1.01,2.6045604679088963
267,1.4819999999999856,1.01,2.5846203330682007
268,1.4839999999999853,1.01,2.869223032820104
269,1.4919999999999844,1.01,3.1446154183224535
270,1.487999999999985,1.01,3.182131525685772
271,1.4639999999999875,0.99,3.7435441854947284
272,1.487999999999985,1.01,3.163527940977986
273,1.4569999999999883,0.98,3.066394855409637
274,1.4709999999999868,0.99,2.879578940003142
275,1.487999999999985,1.01,2.6217951161631663
276,1.4849999999999852,1.01,2.7449602277380865
277,1.4929999999999843,1.02,3.8008732113363086
278,1.487999999999985,1.01,2.995848135664111
279,1.487999999999985,1.01,3.361756876119712
280,1.4709999999999868,1.0,2.6704026605580427
281,1.487999999999985,1.01,3.0552932372203934
282,1.487999999999985,1.01,3.181135879732523
283,1.4919999999999844,1.02,3.2586398867086044
284,1.4849999999999852,1.01,2.4595363815803126
285,1.487999999999985,1.01,3.0852710503978327
286,1.487999999999985,1.01,2.84053849798732
287,1.487999999999985,1.02,3.635189954054691
288,1.487999999999985,1.01,3.273487207197111
289,1.467999999999987,0.99,2.7170370552174004
290,1.467999999999987,0.99,2.6921109083212538
291,1.487999999999985,1.01,2.846959036422237
292,1.4849999999999852,1.01,2.472988448172919
293,1.4949999999999841,1.02,2.9969001921949037
294,1.4709999999999868,0.99,2.572479692774395
295,1.487999999999985,1.01,3.1355073764704007
296,1.4889999999999848,1.02,2.745929151981238
297,1.4709999999999868,1.0,3.059398779066061
298,1.4929999999999843,1.02,3.286743508358535
299,1.487999999999985,1.01,3.0996840250508866
300,1.487999999999985,1.01,3.026694327148866
301,1.477999999999986,1.0,2.747252838188996
302,1.487999999999985,1.01,3.1629759006370377
303,1.4709999999999868,1.0,2.9520620152319483
304,1.467999999999987,0.99,3.738052583397666
305,1.487999999999985,1.01,2.956970737829335
306,1.4849999999999852,1.01,2.8783620013837967
307,1.4929999999999843,1.02,2.9975322123997015
308,1.487999999999985,1.01,3.007195835979353
309,1.4819999999999856,1.01,2.7408128990308485
310,1.4699999999999869,0.99,2.6265294722411916
311,1.4819999999999856,1.01,2.9959712885342804
312,1.486999999999985,1.01,2.964810852822275
313,1.4639999999999875,0.99,3.2422656092802327
314,1.487999999999985,1.02,2.8494100889619185
315,1.4669999999999872,0.99,3.104200221258231
316,1.4839999999999853,1.01,2.7651140641879133
317,1.4949999999999841,1.02,3.5833279980913355
318,1.4919999999999844,1.01,3.100513809357006
319,1.487999999999985,1.01,3.2828650459696513
320,1.4709999999999868,0.99,3.646596407884673
321,1.4929999999999843,1.02,3.1108714040526926
322,1.467999999999987,0.99,3.022427507839278
323,1.487999999999985,1.02,2.698139070629212
324,1.487999999999985,1.01,2.8896251309573704
325,1.487999999999985,1.01,2.8772888753250165
326,1.487999999999985,1.01,3.0124637668763428
327,1.4849999999999852,1.01,2.712601438611865
328,1.4639999999999875,0.99,3.215727669728553
329,1.4699999999999869,1.0,2.9478124579120384
330,1.4919999999999844,1.01,3.000297451795592
331,1.487999999999985,1.01,2.8258106574241504
332,1.487999999999985,1.02,3.000967232172919
333,1.4699999999999869,1.0,3.05745264776068
334,1.487999999999985,1.01,2.8741609297348103
335,1.476999999999986,1.0,3.01333786223682
336,1.4849999999999852,1.01,2.5389419394451505
337,1.487999999999985,1.01,3.0159259715430005
338,1.4819999999999856,1.01,2.4332775323775544
339,1.487999999999985,1.01,3.116962916486278
340,1.4929999999999843,1.02,3.3040157947117104
341,1.4939999999999842,1.02,3.468811141791722
342,1.487999999999985,1.01,3.4901636430386684
343,1.485999999999985,1.01,3.1471683577036376
344,1.4849999999999852,1.01,2.6617336425583127
345,1.487999999999985,1.01,3.45547904577456
346,1.4819999999999856,1.01,2.7159634244844053
347,1.4849999999999852,1.01,2.7904008152069624
348,1.487999999999985,1.02,3.2981997627867865
349,1.477999999999986,1.0,2.6723446117896517
350,1.4819999999999856,1.0,2.8442928455749676
351,1.487999999999985,1.01,3.2195904663362414
352,1.4929999999999843,1.02,3.1089459250110716
353,1.4849999999999852,1.01,2.973041104658255
354,1.4949999999999841,1.02,3.5509750185789417
355,1.4819999999999856,1.01,2.7810896556475018
356,1.4839999999999853,1.01,2.7587875140536147
357,1.487999999999985,1.01,3.123334561871731
358,1.4929999999999843,1.02,3.3814267843013526
359,1.487999999999985,1.01,3.41520782877725
360,1.4929999999999843,1.02,2.920270982559201
361,1.4839999999999853,1.01,2.954591793548768
362,1.4949999999999841,1.02,3.8854575441512647
363,1.4839999999999853,1.01,2.7109927556026117
364,1.4929999999999843,1.02,3.3773646208106403
365,1.487999999999985,1.01,3.15117237021293
366,1.487999999999985,1.01,2.9127600630062602
367,1.4919999999999844,1.02,3.0753837052390547
368,1.4849999999999852,1.01,2.874623504754414
369,1.4929999999999843,1.02,2.8810405727436303
370,1.4839999999999853,1.01,2.864662779821909
371,1.487999999999985,1.01,2.767946059874799
372,1.4819999999999856,1.01,2.7908332933687228
373,1.4889999999999848,1.01,2.7995082783174863
374,1.4849999999999852,1.01,2.7258158357858067
375,1.4849999999999852,1.01,3.3102169286765655
376,1.4709999999999868,0.99,2.7604834748888805
377,1.487999999999985,1.01,3.4775340020717485
378,1.4639999999999875,0.98,3.2241741621137976
379,1.4809999999999857,1.01,2.536285622212052
380,1.4889999999999848,1.02,2.996107838066715
