Trial,Angular Diameter,Visibility Value,Chi-Squared Value
54,1.4849999999999905,1.01,2.4847156823707226
55,1.4819999999999909,1.01,3.241044593823514
56,1.4879999999999902,1.01,3.083298320292549
57,1.4929999999999897,1.02,3.408323743754995
58,1.4639999999999929,0.99,3.266456597537768
59,1.4859999999999904,1.01,3.322079014113165
60,1.4699999999999922,0.99,2.8789316319407883
61,1.4699999999999922,0.99,2.5806250217549906
62,1.4879999999999902,1.01,3.0593735998470764
63,1.4849999999999905,1.01,2.660551978582853
64,1.4879999999999902,1.02,2.7444884817734683
65,1.471999999999992,1.0,2.5850180768525997
66,1.470999999999992,1.0,2.658627534795352
67,1.4879999999999902,1.01,2.958250339269302
68,1.4879999999999902,1.02,2.7149752870081416
69,1.4879999999999902,1.01,3.399795032316031
70,1.4839999999999907,1.01,2.9618695558203503
71,1.4849999999999905,1.01,2.8971548101630273
72,1.4879999999999902,1.01,2.909564944747977
73,1.4919999999999898,1.02,3.0300804098577028
74,1.4879999999999902,1.01,2.97595261482106
75,1.4879999999999902,1.01,3.011487393094422
76,1.4819999999999909,1.0,2.717322628983339
77,1.4849999999999905,1.01,2.766457361247539
78,1.4879999999999902,1.02,2.780030821843199
79,1.4839999999999907,1.01,3.043919449041801
80,1.4879999999999902,1.01,3.39365853160111
81,1.4699999999999922,0.99,2.8115565741406536
82,1.4929999999999897,1.02,3.454280155261031
83,1.4849999999999905,1.01,2.983156576809636
84,1.4879999999999902,1.01,2.8279681592700903
85,1.4879999999999902,1.01,3.088476591372011
86,1.4639999999999929,0.98,2.8965744155100595
87,1.4919999999999898,1.02,3.149727950900058
88,1.48899999999999,1.02,2.7709591849432647
89,1.48899999999999,1.02,3.1276555208323216
90,1.4879999999999902,1.01,2.9747464431206248
91,1.4849999999999905,1.01,3.107162966846492
92,1.4849999999999905,1.01,2.8579860320833963
93,1.4559999999999937,0.98,3.5786963705786636
94,1.4699999999999922,0.99,3.2078600450349426
95,1.4849999999999905,1.01,2.607204737777913
96,1.4849999999999905,1.01,2.766558387548097
97,1.4699999999999922,1.0,3.0685406032739184
98,1.4879999999999902,1.01,2.655520957258562
99,1.48899999999999,1.02,2.9594819327190334
100,1.4869999999999903,1.01,3.0040760780654248
101,1.4879999999999902,1.01,2.8839370534508753
102,1.4569999999999936,0.98,3.4183970869969915
103,1.4849999999999905,1.01,2.646719690940136
104,1.4929999999999897,1.02,3.323891186950231
105,1.470999999999992,1.0,2.758925951788049
106,1.480999999999991,1.0,2.690637738958553
107,1.4839999999999907,1.01,3.132846027849822
108,1.4929999999999897,1.02,2.899767592740833
109,1.4699999999999922,0.99,2.775563762346282
110,1.4849999999999905,1.01,3.251519724698572
111,1.4839999999999907,1.01,3.476145944315718
112,1.4949999999999894,1.02,3.10123379286043
113,1.4879999999999902,1.01,3.26690703972524
114,1.4879999999999902,1.01,3.8661139775904116
115,1.4819999999999909,1.0,2.693657452695101
116,1.4879999999999902,1.01,3.4529149475040795
117,1.4929999999999897,1.02,3.0514444478389415
118,1.480999999999991,1.0,2.584759740275384
119,1.4639999999999929,0.99,2.8747540939209233
120,1.4859999999999904,1.01,3.0388981096604737
121,1.4919999999999898,1.02,2.7963650458117097
122,1.4819999999999909,1.01,2.8009069855428366
123,1.4879999999999902,1.01,2.844070618577735
124,1.4879999999999902,1.01,3.026007263492375
125,1.4879999999999902,1.01,2.797354969642745
126,1.4879999999999902,1.01,2.929324950007334
127,1.4849999999999905,1.01,2.8871140021024058
128,1.4919999999999898,1.02,2.6980126345909428
129,1.4639999999999929,0.99,3.042234136800295
130,1.4879999999999902,1.01,2.797027668101461
131,1.480999999999991,1.01,2.7455410619984804
132,1.4859999999999904,1.01,2.6629317995892903
133,1.4839999999999907,1.01,2.845021812316137
134,1.4869999999999903,1.01,3.1557421371826586
135,1.4849999999999905,1.01,2.7456851095089263
136,1.4879999999999902,1.01,3.0343442684464708
137,1.4879999999999902,1.01,2.7489485863538206
138,1.4869999999999903,1.01,3.051847443245509
139,1.4879999999999902,1.01,3.1524514603365774
140,1.4849999999999905,1.01,2.7843134312812303
141,1.4929999999999897,1.02,3.320805891801774
142,1.4699999999999922,0.99,2.8186414724598077
143,1.4919999999999898,1.02,3.1065178822029993
144,1.4869999999999903,1.01,2.9766705300355234
145,1.4879999999999902,1.01,3.764533841667641
146,1.4879999999999902,1.01,2.999234093516755
147,1.4839999999999907,1.01,2.584286849935154
148,1.4929999999999897,1.02,3.369667664412154
149,1.48899999999999,1.01,3.0479438268853034
150,1.470999999999992,0.99,2.4894081882441177
151,1.470999999999992,1.0,2.9066807457878006
152,1.4649999999999928,0.99,3.033275791737294
153,1.4879999999999902,1.01,2.8858616184103627
154,1.4879999999999902,1.01,3.506237408816001
155,1.4849999999999905,1.01,2.7905155979298035
156,1.4849999999999905,1.01,2.974063234030841
157,1.4669999999999925,0.99,3.006024000908985
158,1.4879999999999902,1.02,2.800460257020907
159,1.4879999999999902,1.01,2.5978170497339588
160,1.4849999999999905,1.01,2.7754129135303236
161,1.4849999999999905,1.01,2.6407500381735978
162,1.4679999999999924,0.99,2.9416809661040393
163,1.4949999999999894,1.02,3.5747049299390077
164,1.4879999999999902,1.02,3.057623615688416
165,1.4769999999999914,1.0,2.42283834895008
166,1.4849999999999905,1.0,2.7820569679310383
167,1.4879999999999902,1.01,2.7963823104726306
168,1.4949999999999894,1.02,3.2898396267291194
169,1.4849999999999905,1.01,2.7738246150471038
170,1.4879999999999902,1.01,2.8678830457917592
171,1.4869999999999903,1.01,2.6283798872451
172,1.4679999999999924,0.99,3.388857823334893
173,1.4929999999999897,1.02,3.3981375244292473
174,1.4879999999999902,1.01,3.1270021920037605
